Timestamp,Round_Type,Test_Name,Energy_Joules,Duration_Sec,Power_Avg_Watts
2026-02-12T17:35:59.910302,warmup,speedometer,126.570126513958,14.685782,8.618548642078304
2026-02-12T17:36:23.157654,warmup,jetstream,291.1183994588854,14.72814,19.766134722978286
2026-02-12T17:36:47.079889,warmup,motionmark,173.27142061519618,14.68231,11.80137325905775
2026-02-12T17:37:24.499679,warmup,jetstream,311.86998547649375,14.689469,21.23085493944633
2026-02-12T17:37:43.472192,actual,speedometer,173.3476005773544,14.671555,11.815216626823428
2026-02-12T17:38:02.645015,actual,speedometer,145.60607192516326,14.860739,9.798037091235049
2026-02-12T17:38:21.560251,actual,speedometer,125.31773156213764,14.672729,8.540860501283547
2026-02-12T17:38:44.826113,actual,jetstream,300.34454575490963,14.702835,20.42766213148074
2026-02-12T17:39:08.092540,actual,motionmark,242.87014925909034,14.677541,16.54705984191019
2026-02-12T17:39:26.849160,actual,control,101.04205898189542,14.676246,6.884734623683428
2026-02-12T17:39:49.848292,actual,jetstream,302.44316102504735,14.711327,20.558523444217325
2026-02-12T17:40:08.608998,actual,control,106.06238520336153,14.669484,7.2301374201956605
2026-02-12T17:40:31.581688,actual,jetstream,283.7940467572214,14.678972,19.33337339680336
2026-02-12T17:40:54.899534,actual,motionmark,202.8279354395866,14.682588,13.814181494405931
2026-02-12T17:41:13.628612,actual,control,149.03043960857397,14.66276,10.163873623286063
2026-02-12T17:41:32.546952,actual,speedometer,158.76496786403658,14.688131,10.809065351067238
2026-02-12T17:41:55.817301,actual,jetstream,298.0061733765602,14.903936,19.995132384932422
2026-02-12T17:42:14.493225,actual,control,144.54912944698333,14.64654,9.86916564915559
2026-02-12T17:42:38.015273,actual,jetstream,298.1553358392715,14.674536,20.31787143656682
2026-02-12T17:42:56.719723,actual,control,109.97838140773771,14.641609,7.511358991196781
2026-02-12T17:43:20.036983,actual,motionmark,187.0467651581764,14.6882305,12.734465540840771
2026-02-12T17:43:43.313366,actual,motionmark,169.00118571376805,14.68145,11.51120534509657
