Timestamp,Round_Type,Test_Name,Energy_Joules,Duration_Sec,Power_Avg_Watts
2026-02-18T13:49:15.549068,warmup,jetstream,227.2053743972778,14.901639,15.247005674830655
2026-02-18T13:49:40.876380,warmup,motionmark,202.46085528039936,14.886898,13.599935680381456
2026-02-18T13:50:00.542083,warmup,control,126.31505020952225,14.652506,8.620713085496927
2026-02-18T13:50:25.803338,warmup,motionmark,179.49585470199582,14.876779,12.065505221392064
2026-02-18T13:50:51.010813,warmup,motionmark,176.61655812549594,14.871876,11.875876192451843
2026-02-18T13:51:16.374707,actual,motionmark,171.62961746597293,14.874516,11.538500981542722
2026-02-18T13:51:41.646101,actual,motionmark,174.70289635658258,14.867839,11.750389303824354
2026-02-18T13:52:01.526029,actual,control,106.64128381061559,14.819318,7.196099294894379
2026-02-18T13:52:26.774087,actual,motionmark,174.19023731899264,14.849717,11.730205856380472
2026-02-18T13:52:51.917027,actual,motionmark,175.9780847716332,14.833757,11.863352269531799
2026-02-18T13:53:11.768367,actual,control,109.55290024137496,14.798929,7.4027586889142425
2026-02-18T13:53:31.705911,actual,speedometer,126.66634870195388,14.6682415,8.635414729294842
2026-02-18T13:53:51.474875,actual,speedometer,127.83939476871493,14.696646,8.698542155041016
2026-02-18T13:54:11.108354,actual,control,107.6410219993592,14.683113,7.330940107820405
2026-02-18T13:54:36.449171,actual,motionmark,171.23545156717302,14.8684435,11.516703249211863
2026-02-18T13:55:09.931634,actual,jetstream,205.55867453432086,14.8645735,13.828763706830932
2026-02-18T13:55:30.480196,actual,control,108.5648923106194,14.766085,7.352313921436819
2026-02-18T13:55:50.273466,actual,control,107.76086977529519,14.756411,7.3026476272106535
2026-02-18T13:56:29.372645,actual,jetstream,208.46305659818643,14.889994,14.000210920043784
2026-02-18T13:56:49.196375,actual,control,110.34808600711821,14.824422,7.443668697984866
2026-02-18T13:57:09.001079,actual,control,109.33871310138701,14.802965,7.386271135639854
2026-02-18T13:57:34.305013,actual,motionmark,175.19244828271866,14.885771,11.769121551226245
2026-02-18T13:57:54.173318,actual,control,108.9539129858017,14.806592,7.358473373602899
2026-02-18T13:58:29.634755,actual,jetstream,210.09830089664467,14.896814,14.103572810712725
2026-02-18T13:59:09.927936,actual,jetstream,210.2058060221672,14.922859,14.086161775177745
2026-02-18T13:59:29.774568,actual,control,106.80599053239816,14.830434,7.2018115270529615
2026-02-18T14:00:07.691782,actual,jetstream,210.37493294000612,14.880318,14.13779819356052
2026-02-18T14:00:27.613466,actual,control,106.56203826999659,14.837203,7.182083999928867
2026-02-18T14:00:47.497709,actual,speedometer,125.06732921934133,14.676062,8.52185887599421
2026-02-18T14:01:07.385785,actual,speedometer,124.90590540075307,14.677609,8.509962719456082
2026-02-18T14:01:32.616398,actual,motionmark,179.00877415275576,14.808436,12.088297113399129
2026-02-18T14:02:11.176132,actual,jetstream,208.88088366508487,14.930511,13.990203259961088
2026-02-18T14:02:36.441990,actual,motionmark,171.09773354864112,14.803684,11.557780721923077
2026-02-18T14:02:56.541946,actual,speedometer,127.26713720369341,14.818003,8.58868345509806
2026-02-18T14:03:16.313024,actual,speedometer,123.53729396963126,14.672569,8.419608997553958
2026-02-18T14:03:41.596864,actual,motionmark,180.4517395710945,14.856896,12.14599197376723
2026-02-18T14:04:06.936895,actual,motionmark,175.96623557901384,14.861424,11.840469364107628
2026-02-18T14:04:34.591961,actual,jetstream,208.34216557550428,14.888807,13.993207486369075
2026-02-18T14:04:59.784149,actual,motionmark,171.95360411310193,14.901756,11.539150427177972
2026-02-18T14:05:19.618052,actual,control,110.68364332723614,14.790242,7.4835586413823485
2026-02-18T14:05:56.665608,actual,jetstream,209.27460939931862,14.884121,14.060259883624878
2026-02-18T14:06:22.200887,actual,motionmark,175.6773885717392,14.889899,11.79842714660047
2026-02-18T14:06:47.420044,actual,motionmark,175.1991743879318,14.842815,11.803635253011764
2026-02-18T14:07:07.124319,actual,speedometer,126.22570135164263,14.683604,8.596370574393223
2026-02-18T14:07:27.239512,actual,speedometer,126.30936713981635,14.871202,8.493554666247983
2026-02-18T14:07:55.517945,actual,jetstream,206.3575324139595,14.886102,13.862429023659754
2026-02-18T14:08:15.315200,actual,control,107.46789890480046,14.697749,7.311861081911282
2026-02-18T14:08:40.684700,actual,motionmark,173.2164461112023,14.879429,11.641336916302519
2026-02-18T14:09:12.417469,actual,jetstream,204.5317281055451,14.824573,13.79680400275577
2026-02-18T14:09:32.393196,actual,speedometer,124.68327289056779,14.715726,8.472791141297941
2026-02-18T14:10:09.936987,actual,jetstream,207.81154340124135,14.862546,13.982230460463594
2026-02-18T14:10:42.533611,actual,jetstream,202.3245409455299,14.87996,13.597115916005814
2026-02-18T14:11:02.662494,actual,speedometer,127.46424352598193,14.8611145,8.57703125334119
2026-02-18T14:11:22.634355,actual,speedometer,124.2172222456932,14.717583,8.440055832924006
2026-02-18T14:11:42.614506,actual,speedometer,126.09893334341045,14.712988,8.570586297182492
2026-02-18T14:13:01.365243,actual,jetstream,207.64683106136323,14.74486,14.082658706923175
2026-02-18T14:13:21.668533,actual,speedometer,122.01329837036128,14.865437,8.207851432175273
2026-02-18T14:13:41.621582,actual,speedometer,130.4966157355308,14.848407,8.788593667693162
2026-02-18T14:14:01.674384,actual,speedometer,123.31794222974774,14.795033,8.335090717928628
2026-02-18T14:14:21.500961,actual,speedometer,127.27944522190094,14.695236,8.661272620725583
2026-02-18T14:14:41.534702,actual,speedometer,125.69860132217408,14.835298,8.472940774238177
