Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1771765097699,4,4,4,4,4,4,4,4,4,4,43.38357925415039,43.81832504272461,43.3172492980957,43.39009475708008,36.70896530151367,43.928226470947266,47.25,42.105262756347656,38.095237731933594,20,15.000000953674316,10.526315689086914,5.263157844543457,85,57.142860412597656,57.142860412597656,52.6315803527832,14.13316822052002,17179869184,0,10607525888,0
204,1771765097904,4,4,4,4,4,4,4,4,4,4,43.38357925415039,43.81832504272461,43.3172492980957,43.39009475708008,36.70896530151367,43.928226470947266,47.25,30.000001907348633,15.000000953674316,9.523809432983398,4.761904716491699,0,4.761904716491699,15.000000953674316,55,30.000001907348633,9.523809432983398,5.989593982696533,17179869184,0,10614046720,0
203,1771765098109,4,4,4,4,4,4,4,4,4,4,43.38357925415039,43.81832504272461,43.3172492980957,43.39009475708008,36.70896530151367,43.928226470947266,47.25,68.18181610107422,57.142860412597656,50,47.619049072265625,45,40,70,65,61.904762268066406,66.66667175292969,5.989593982696533,17179869184,0,10680352768,0
204,1771765098313,4,4,4,4,4,4,4,4,4,4,55.677616119384766,56.510765075683594,57.08187484741211,55.29401397705078,53.36997604370117,58.26861572265625,77.625,31.57894515991211,20,10,0,0,0,20,38.095237731933594,20,35,5.989593982696533,17179869184,0,10685579264,0
204,1771765098518,4,4,4,4,4,4,4,4,4,4,55.677616119384766,56.510765075683594,57.08187484741211,55.29401397705078,53.36997604370117,58.26861572265625,77.625,25,30.000001907348633,23.809524536132813,13.636363983154297,14.285715103149414,9.090909004211426,28.571430206298828,20,40,35,5.989593982696533,17179869184,0,10677207040,0
201,1771765098723,4,4,4,4,4,4,4,4,4,4,55.677616119384766,56.510765075683594,57.08187484741211,55.29401397705078,53.36997604370117,58.26861572265625,77.625,85,85,84.21052551269531,73.68421173095703,71.42857360839844,70,80,70,75,71.42857360839844,5.989593982696533,17179869184,0,9393815552,0
204,1771765098925,4,4,4,4,4,4,4,4,4,4,55.677616119384766,56.510765075683594,57.08187484741211,55.29401397705078,53.36997604370117,58.26861572265625,77.625,40,28.571430206298828,23.809524536132813,14.285715103149414,10,5,33.333335876464844,33.333335876464844,38.095237731933594,35,11.700953483581543,17179869184,0,9393815552,0
204,1771765099130,4,4,4,4,4,4,4,4,4,4,55.677616119384766,56.510765075683594,57.08187484741211,55.29401397705078,53.36997604370117,58.26861572265625,77.625,33.333335876464844,25,9.523809432983398,0,0,0,20,10,15.000000953674316,10,11.700953483581543,17179869184,0,9393815552,0
204,1771765099335,4,4,4,4,4,4,4,4,4,4,58.21342849731445,57.43878936767578,56.472511291503906,57.73448181152344,51.017181396484375,60.38067626953125,82.328125,35,20,15.000000953674316,10,5,4.545454502105713,14.285715103149414,10,9.523809432983398,4.761904716491699,11.700953483581543,17179869184,0,9393815552,0
204,1771765099540,4,4,4,4,4,4,4,4,4,4,58.21342849731445,57.43878936767578,56.472511291503906,57.73448181152344,51.017181396484375,60.38067626953125,82.328125,42.85714340209961,35,20,15.000000953674316,14.285715103149414,10,40,36.3636360168457,36.842105865478516,30.000001907348633,11.700953483581543,17179869184,0,9393815552,0
