elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,5.0,6751.2,57.0,0.0,0.0
1.01,22.0,7133.9,59.2,0.01,0.06
2.01,59.0,7456.3,61.1,0.37,2.88
3.02,40.7,7318.7,60.3,0.78,5.73
4.03,16.4,7353.0,60.5,0.78,5.73
5.04,25.9,7427.4,60.9,2.24,7.59
6.04,33.1,7523.6,61.5,2.66,8.47
7.05,24.2,7513.3,61.5,2.74,8.6
8.06,7.6,7403.6,60.8,2.74,8.6
9.07,12.7,7475.0,61.2,2.75,8.64
10.08,4.6,7414.8,60.9,2.76,8.69
11.09,6.6,7430.6,60.9,2.77,8.7
12.1,7.6,7339.3,60.4,2.8,8.71
13.1,4.8,7332.1,60.4,2.81,8.72
14.11,31.2,7310.0,60.2,2.96,25.39
15.12,12.8,7301.0,60.2,3.19,54.9
16.12,8.0,7287.2,60.1,3.19,54.9
17.13,4.4,7270.2,60.0,3.19,54.9
18.14,3.3,7268.7,60.0,3.19,54.91
19.15,4.6,7260.5,60.0,3.19,54.91
20.16,9.0,7288.5,60.1,3.2,54.91
21.17,3.8,7276.3,60.0,3.2,54.91
22.18,3.4,7276.9,60.0,3.2,54.91
23.18,3.2,7277.5,60.0,3.2,54.91
24.19,3.3,7278.5,60.0,3.2,54.91
25.19,3.6,7279.2,60.0,3.2,54.91
26.2,3.4,7279.3,60.0,3.2,54.91
27.21,4.1,7280.3,60.0,3.2,54.91
28.22,2.9,7281.1,60.0,3.21,54.91
29.22,2.7,7281.1,60.0,3.21,54.91
30.23,3.3,7274.0,60.0,3.21,54.91
31.24,6.6,7283.1,60.1,3.21,54.91
32.25,8.0,7245.6,59.9,3.21,54.91
33.26,5.8,7254.4,59.9,3.22,54.91
34.27,3.6,7255.4,59.9,3.22,54.92
35.28,3.2,7255.9,59.9,3.22,54.92
36.29,3.6,7248.9,59.9,3.22,54.92
37.3,3.9,7248.0,59.9,3.22,54.92
38.31,4.1,7241.2,59.8,3.22,54.92
39.32,5.2,7242.6,59.8,3.23,54.92
40.33,2.9,7243.4,59.8,3.23,54.92
41.34,3.0,7243.9,59.8,3.23,54.92
42.35,3.9,7244.7,59.9,3.23,54.92
43.36,3.8,7241.6,59.9,3.23,54.92
44.37,3.4,7242.2,59.9,3.24,54.92
45.37,2.9,7243.2,59.9,3.24,54.93
46.39,3.6,7244.2,59.8,3.24,54.93
47.4,4.8,7244.7,59.8,3.24,54.93
48.4,5.2,7224.5,59.8,3.24,54.93
49.41,4.3,7225.8,59.7,3.25,54.93
50.42,3.0,7226.0,59.7,3.25,54.93
51.42,3.3,7226.2,59.7,3.25,54.93
52.43,3.0,7226.9,59.7,3.25,54.93
53.44,4.0,7224.9,59.7,3.25,54.93
54.45,3.5,7225.7,59.7,3.25,54.93
55.46,3.7,7226.5,59.8,3.26,54.93
56.47,3.1,7227.1,59.8,3.26,54.93
57.48,3.1,7227.7,59.8,3.26,54.94
58.48,3.1,7228.0,59.7,3.26,54.94
59.49,2.8,7228.1,59.7,3.26,54.94
60.5,3.1,7228.0,59.7,3.26,54.94
61.51,3.7,7229.5,59.7,3.28,55.62
62.52,10.4,7297.0,60.1,3.31,59.93
63.53,4.2,7291.4,60.1,3.31,59.94
64.54,8.5,7281.6,60.1,3.32,60.36
65.55,8.5,7283.2,60.1,3.32,60.42
66.56,3.4,7283.4,60.1,3.33,60.43
67.57,6.4,7283.4,60.1,3.33,60.43
68.57,3.1,7283.1,60.1,3.33,60.43
69.58,6.2,7283.2,60.1,3.33,60.44
70.59,7.3,7264.3,60.0,3.34,60.45
71.6,15.1,7265.6,60.0,3.36,61.55
72.61,6.7,7257.7,60.0,3.37,61.58
73.62,9.9,7252.7,59.9,3.39,62.4
74.62,8.3,7252.8,59.9,3.4,62.76
75.63,5.1,7254.7,59.9,3.45,64.21
76.64,4.2,7255.5,59.9,3.47,64.94
77.65,6.5,7256.3,59.9,3.49,65.47
78.66,3.5,7256.5,59.9,3.5,65.74
79.67,3.4,7256.2,59.9,3.51,66.07
80.68,3.8,7256.0,59.9,3.53,66.38
81.69,3.7,7256.2,59.9,3.54,66.64
82.69,3.8,7255.2,59.9,3.55,67.02
83.7,11.4,7253.8,59.9,3.57,67.28
84.71,3.3,7254.4,59.9,3.58,67.36
85.72,3.4,7254.7,59.9,3.59,67.37
86.73,2.8,7254.5,59.9,3.59,67.37
87.74,2.8,7254.4,59.9,3.59,67.37
88.75,2.9,7254.2,59.9,3.59,67.37
89.76,3.0,7253.7,59.9,3.59,67.37
90.77,2.8,7253.7,59.9,3.59,67.37
91.78,3.7,7240.5,59.8,3.59,67.37
92.79,3.8,7240.8,59.8,3.59,67.37
93.8,3.7,7241.3,59.8,3.6,67.45
94.81,8.1,7246.6,59.8,3.6,67.45
95.81,3.1,7246.6,59.8,3.61,67.46
96.82,3.8,7245.9,59.8,3.61,67.46
97.83,3.2,7246.2,59.9,3.61,67.46
98.84,3.2,7246.4,59.9,3.61,67.46
99.85,3.0,7246.1,59.9,3.61,67.46
100.85,2.9,7246.1,59.8,3.61,67.46
101.85,2.8,7245.9,59.8,3.61,67.46
102.87,2.9,7245.0,59.9,3.61,67.46
103.87,4.1,7245.4,59.8,3.62,67.46
104.89,7.9,7246.3,59.9,3.62,67.47
105.9,4.7,7253.6,59.9,3.62,67.47
106.9,3.2,7253.9,59.9,3.62,67.47
107.91,4.3,7254.0,59.9,3.63,67.47
108.92,2.8,7254.1,59.9,3.63,67.47
109.92,3.1,7253.9,59.9,3.63,67.47
110.92,3.0,7253.2,59.9,3.63,67.47
111.93,2.7,7253.1,59.9,3.63,67.47
112.93,3.2,7252.7,59.9,3.63,67.48
113.94,3.2,7252.7,59.9,3.63,67.48
114.94,3.7,7253.1,60.0,3.63,67.48
115.95,3.1,7253.0,60.0,3.63,67.48
116.96,2.7,7253.0,59.9,3.63,67.48
117.97,3.1,7253.1,59.9,3.64,67.48
118.97,2.9,7253.3,59.9,3.64,67.48
119.99,3.0,7253.0,59.9,3.64,67.48
121.0,2.8,7252.8,59.9,3.64,67.48
122.0,3.6,7301.1,60.2,3.64,67.48
123.01,3.0,7301.4,60.2,3.64,67.48
124.02,3.2,7301.6,60.2,3.64,67.48
125.02,3.3,7302.0,60.2,3.64,67.48
