elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
126.11,4.5,7834.6,63.3,2.54,91.44
127.12,4.5,7823.9,63.2,2.54,91.44
128.12,3.7,7834.5,63.3,2.54,91.44
129.13,4.2,7824.1,63.2,2.54,91.44
130.14,4.5,7820.4,63.2,2.55,91.44
131.14,4.9,7816.1,63.1,2.55,91.44
132.15,5.2,7816.8,63.2,3.06,91.95
133.16,3.6,7812.5,63.1,3.06,91.95
134.17,6.9,7828.4,63.2,3.1,91.99
135.18,1.0,7828.1,63.2,3.1,91.99
