Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772041659629,6513.559341430664,5025,0,0.375,89937.37065124512,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0,0,0,0,0,0,0,0,1.5671615600585938,0,0,0,0,0,0,23.50310516357422,33411727360,34157330432,3959115776,0
200,1772041659629,6513.564987182617,5025,0,0.375,89937.39903259277,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33411727360,34157330432,3959164928,0
199,1772041659829,5812.0394287109375,4040,1,0.39375000000000004,89942.82862854004,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.6685562133789063,2.9647445678710938,2.330108642578125,2.3095474243164063,1.991546630859375,2.0738372802734375,2.3347625732421875,2.1247482299804688,96.1029281616211,2.28472900390625,2.0529327392578125,2.059051513671875,2.885101318359375,2.2436599731445313,4.116828918457031,8.72216796875,33411727360,34157330432,6120570880,0
199,1772041660030,5812.049011230469,4040,1,0.4125000000000001,89948.64935302734,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.364959716796875,0.668182373046875,0.35880279541015625,0.240570068359375,0.33806610107421875,0.28509521484375,0.198944091796875,0.33676910400390625,100,0.43695831298828125,0.3079833984375,0.28104400634765625,0.38188934326171875,0.453399658203125,1.2589111328125,1.6617965698242188,33411727360,34157330432,6958202880,0
200,1772041660230,5812.069259643555,3366.6666666666665,1,0.41874999999999996,89954.16744995117,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.3707427978515625,0.2942047119140625,0.26093292236328125,0.1728057861328125,0.1299896240234375,0.1768035888671875,0.460968017578125,0.2936553955078125,100,0.3335723876953125,0.22611236572265625,0.247344970703125,0.67449951171875,0.2451019287109375,2.538116455078125,2.7204132080078125,33411727360,34157330432,8273506304,0
200,1772041660430,5812.171951293945,3366.6666666666665,1,0.41874999999999996,89959.79289245605,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4.615058898925781,0.5979537963867188,0.37752532958984375,0.1529998779296875,0.08007049560546875,0.16793060302734375,0.2901153564453125,0.17517852783203125,100,0.233367919921875,0.13701629638671875,0.13816070556640625,0.1714324951171875,0.49315643310546875,11.777740478515625,0.903350830078125,33411727360,34157330432,9218609152,0
200,1772041660630,6519.125076293945,5025,0,0.41874999999999996,89965.89772033691,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,2.8328781127929688,4.6665191650390625,1.0928573608398438,0.8945388793945313,0.83380126953125,0.8253173828125,0.9474334716796875,0.878814697265625,10.987167358398438,83.68946838378906,0.8569107055664063,0.98486328125,1.3813095092773438,1.2539520263671875,3.803619384765625,6.106163024902344,33411727360,34157330432,9218871296,0
200,1772041660831,6521.173934936523,5050,0,0.42500000000000004,89971.68664550781,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.0836257934570313,1.6309356689453125,0.554046630859375,0.5860443115234375,0.5952835083007813,0.49533843994140625,0.49338531494140625,0.51031494140625,12.874481201171875,41.274742126464844,0.5160064697265625,0.6969223022460938,0.8629684448242188,0.7246780395507813,18.288970947265625,30.991165161132813,33411727360,44876218368,9218670592,0
200,1772041661031,6522.845809936523,4950,0,0.4437500000000001,89977.59541320801,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.9515533447265625,1.097076416015625,0.25542449951171875,0.19670867919921875,0.206146240234375,0.14748382568359375,0.22736358642578125,0.13964080810546875,0.45008087158203125,43.51014709472656,0.11163330078125,0.2048492431640625,0.1668548583984375,0.489471435546875,21.959693908691406,49.82478332519531,33411727360,44876218368,9217695744,0
200,1772041661231,5820.016693115234,5050,0,0.42500000000000004,89983.40853881836,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4.4320526123046875,1.2220077514648438,0.1620941162109375,0.3425445556640625,0.095458984375,0.11591339111328125,0.12523651123046875,0.134368896484375,30.670555114746094,14.487144470214844,0.13262176513671875,0.12947845458984375,0.30808258056640625,0.395965576171875,24.12786102294922,40.26139831542969,33411727360,44876218368,9220726784,0
