platform,total_experiment_duration_s,timestamp,timeseries_file,energy_cpu_joules,energy_duration_s,energy_method,avg_power_watts,max_power_watts,avg_cpu_percent,max_cpu_percent,avg_cpu_temp_c,avg_memory_mb,energibridge_csv,total_net_sent_mb,total_net_recv_mb,repeat,run_number
meet,125.62,20260222_174416,data/meet_1bot_r3_20260222_174416_timeseries.csv,655.3915,125.32,energibridge,5.24,19.28,5.89,75.35,42.13,9965.7,data/meet_1bot_r3_20260222_174416_energibridge.csv,3.48,69.59,3.0,8.0
meet,125.69,20260222_161848,data/meet_1bot_r3_20260222_161848_timeseries.csv,640.9339,125.52,energibridge,5.12,18.07,5.94,78.21,40.13,9584.2,data/meet_1bot_r3_20260222_161848_energibridge.csv,3.21,9.03,3.0,1.0
meet,125.62,20260222_162155,data/meet_1bot_r1_20260222_162155_timeseries.csv,669.3284,125.27,energibridge,5.35,20.82,6.12,78.41,41.02,9577.7,data/meet_1bot_r1_20260222_162155_energibridge.csv,3.62,67.5,1.0,2.0
teams,135.94,20260222_162502,data/teams_1bot_r5_20260222_162502_timeseries.csv,782.2113,135.73,energibridge,5.77,21.68,7.78,82.11,42.13,9911.6,data/teams_1bot_r5_20260222_162502_energibridge.csv,3.29,91.88,5.0,3.0
meet,125.63,20260222_162818,data/meet_1bot_r2_20260222_162818_timeseries.csv,664.8299,125.33,energibridge,5.32,19.92,5.72,80.71,41.14,9749.1,data/meet_1bot_r2_20260222_162818_energibridge.csv,3.43,67.37,2.0,4.0
teams,136.15,20260222_163124,data/teams_1bot_r8_20260222_163124_timeseries.csv,780.4336,136.0,energibridge,5.75,24.19,7.31,82.86,42.06,10046.4,data/teams_1bot_r8_20260222_163124_energibridge.csv,3.09,91.94,8.0,5.0
teams,135.97,20260222_163441,data/teams_1bot_r3_20260222_163441_timeseries.csv,770.6466,135.67,energibridge,5.69,22.51,6.86,77.57,42.14,10003.5,data/teams_1bot_r3_20260222_163441_energibridge.csv,3.32,91.89,3.0,6.0
meet,125.66,20260222_163757,data/meet_1bot_r6_20260222_163757_timeseries.csv,667.3795,125.44,energibridge,5.33,21.69,5.82,78.38,41.22,9825.1,data/meet_1bot_r6_20260222_163757_energibridge.csv,3.46,67.25,6.0,7.0
teams,135.98,20260222_164103,data/teams_1bot_r7_20260222_164103_timeseries.csv,795.0053,135.63,energibridge,5.87,26.78,7.4,79.53,42.4,9938.8,data/teams_1bot_r7_20260222_164103_energibridge.csv,3.17,91.91,7.0,8.0
meet,126.36,20260222_164420,data/meet_1bot_r8_20260222_164420_timeseries.csv,662.753,126.2,energibridge,5.27,14.65,8.33,68.95,40.55,9837.3,data/meet_1bot_r8_20260222_164420_energibridge.csv,3.15,13.96,8.0,9.0
teams,135.9,20260222_164727,data/teams_1bot_r4_20260222_164727_timeseries.csv,775.1071,135.7,energibridge,5.72,22.18,6.71,74.85,41.89,10064.2,data/teams_1bot_r4_20260222_164727_energibridge.csv,3.02,91.97,4.0,10.0
meet,125.6,20260222_165043,data/meet_1bot_r5_20260222_165043_timeseries.csv,666.5147,125.32,energibridge,5.33,19.74,5.77,78.83,41.2,9868.2,data/meet_1bot_r5_20260222_165043_energibridge.csv,3.44,67.27,5.0,11.0
meet,125.65,20260222_165349,data/meet_1bot_r9_20260222_165349_timeseries.csv,665.7245,125.43,energibridge,5.32,19.42,5.95,80.69,40.95,9823.2,data/meet_1bot_r9_20260222_165349_energibridge.csv,3.72,67.41,9.0,12.0
teams,136.06,20260222_165655,data/teams_1bot_r1_20260222_165655_timeseries.csv,775.6062,135.81,energibridge,5.72,28.39,6.91,82.56,41.98,10065.6,data/teams_1bot_r1_20260222_165655_energibridge.csv,3.07,91.79,1.0,13.0
teams,135.95,20260222_170011,data/teams_1bot_r9_20260222_170011_timeseries.csv,773.1132,135.67,energibridge,5.71,28.31,7.25,98.09,42.04,10182.6,data/teams_1bot_r9_20260222_170011_energibridge.csv,3.13,92.29,9.0,14.0
meet,125.67,20260222_170328,data/meet_1bot_r7_20260222_170328_timeseries.csv,675.7793,125.43,energibridge,5.4,19.53,6.77,84.95,41.29,9974.0,data/meet_1bot_r7_20260222_170328_energibridge.csv,6.14,68.02,7.0,15.0
teams,135.93,20260222_170634,data/teams_1bot_r2_20260222_170634_timeseries.csv,802.4245,135.76,energibridge,5.92,30.19,7.8,74.22,42.19,9990.9,data/teams_1bot_r2_20260222_170634_energibridge.csv,3.13,92.0,2.0,16.0
meet,125.66,20260222_170950,data/meet_1bot_r4_20260222_170950_timeseries.csv,697.3315,125.33,energibridge,5.58,19.38,6.08,75.87,41.24,9755.2,data/meet_1bot_r4_20260222_170950_energibridge.csv,3.59,67.52,4.0,17.0
teams,136.21,20260222_171257,data/teams_1bot_r6_20260222_171257_timeseries.csv,765.5982,135.92,energibridge,5.64,25.08,7.1,78.57,42.03,9984.0,data/teams_1bot_r6_20260222_171257_energibridge.csv,3.06,92.02,6.0,18.0
teams,137.37,20260222_135813,data/teams_1bot_r7_20260222_135813_timeseries.csv,765.1497,137.04,energibridge,5.59,19.85,7.51,76.58,42.32,9625.7,data/teams_1bot_r7_20260222_135813_energibridge.csv,5.19,27.58,7.0,1.0
meet,125.64,20260222_140131,data/meet_1bot_r6_20260222_140131_timeseries.csv,663.476,125.44,energibridge,5.3,20.12,6.06,81.69,41.41,9341.2,data/meet_1bot_r6_20260222_140131_energibridge.csv,3.82,67.47,6.0,2.0
meet,126.86,20260222_140438,data/meet_1bot_r3_20260222_140438_timeseries.csv,697.2845,126.64,energibridge,5.53,22.95,6.94,98.09,42.12,9568.4,data/meet_1bot_r3_20260222_140438_energibridge.csv,3.48,68.11,3.0,3.0
meet,126.02,20260222_140745,data/meet_1bot_r1_20260222_140745_timeseries.csv,665.6537,125.78,energibridge,5.31,20.33,6.41,84.87,41.47,9673.5,data/meet_1bot_r1_20260222_140745_energibridge.csv,3.67,67.43,1.0,4.0
meet,125.63,20260222_141052,data/meet_1bot_r8_20260222_141052_timeseries.csv,726.8081,125.32,energibridge,5.82,23.24,9.64,98.57,43.13,10151.0,data/meet_1bot_r8_20260222_141052_energibridge.csv,3.44,67.43,8.0,5.0
meet,125.84,20260222_141358,data/meet_1bot_r2_20260222_141358_timeseries.csv,662.2026,125.6,energibridge,5.29,20.9,6.38,89.48,41.02,10060.6,data/meet_1bot_r2_20260222_141358_energibridge.csv,3.64,67.48,2.0,6.0
teams,135.87,20260222_141704,data/teams_1bot_r2_20260222_141704_timeseries.csv,806.3102,135.7,energibridge,5.96,22.86,8.44,95.23,43.25,10637.1,data/teams_1bot_r2_20260222_141704_energibridge.csv,3.01,91.83,2.0,7.0
teams,136.45,20260222_142020,data/teams_1bot_r8_20260222_142020_timeseries.csv,781.5802,136.16,energibridge,5.75,19.62,7.94,82.43,42.14,10684.3,data/teams_1bot_r8_20260222_142020_energibridge.csv,3.19,92.25,8.0,8.0
teams,135.98,20260222_142446,data/teams_1bot_r3_20260222_142446_timeseries.csv,795.1955,135.81,energibridge,5.87,24.55,7.87,85.99,43.77,10423.1,data/teams_1bot_r3_20260222_142446_energibridge.csv,3.11,92.01,3.0,10.0
teams,135.99,20260222_142803,data/teams_1bot_r5_20260222_142803_timeseries.csv,772.8402,135.72,energibridge,5.71,23.45,7.17,86.75,42.15,10247.5,data/teams_1bot_r5_20260222_142803_energibridge.csv,3.09,91.84,5.0,11.0
meet,125.64,20260222_143119,data/meet_1bot_r4_20260222_143119_timeseries.csv,656.4281,125.43,energibridge,5.25,20.86,6.3,78.38,41.04,10058.4,data/meet_1bot_r4_20260222_143119_energibridge.csv,3.42,67.36,4.0,12.0
teams,135.96,20260222_143546,data/teams_1bot_r1_20260222_143546_timeseries.csv,758.1498,135.79,energibridge,5.59,26.25,6.88,78.32,41.37,10319.4,data/teams_1bot_r1_20260222_143546_energibridge.csv,3.1,91.99,1.0,14.0
meet,125.63,20260222_143902,data/meet_1bot_r5_20260222_143902_timeseries.csv,659.4948,125.38,energibridge,5.27,23.44,6.4,91.48,40.65,10195.1,data/meet_1bot_r5_20260222_143902_energibridge.csv,3.44,67.41,5.0,15.0
teams,135.86,20260222_144208,data/teams_1bot_r4_20260222_144208_timeseries.csv,761.994,135.7,energibridge,5.62,21.83,7.22,78.91,41.31,10277.2,data/teams_1bot_r4_20260222_144208_energibridge.csv,3.08,91.89,4.0,16.0
