elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
126.09,4.0,7279.3,60.8,2.46,91.41
127.1,4.4,7279.8,60.8,2.46,91.41
128.11,3.6,7279.8,60.8,2.46,91.42
129.12,4.2,7279.7,60.8,2.47,91.42
130.13,3.8,7279.7,60.8,2.47,91.42
131.14,3.8,7279.6,60.8,2.47,91.42
132.16,4.7,7282.2,60.8,2.98,91.93
133.17,4.0,7282.4,60.8,2.98,91.93
134.18,4.6,7310.4,61.0,3.02,91.96
135.19,1.2,7310.6,61.0,3.02,91.97
