Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
209,1771775445614,4,4,4,4,4,4,4,4,4,4,57.756492614746094,57.91035842895508,58.72502136230469,57.64292907714844,55.58491134643555,61.0893440246582,78.328125,45,28.571430206298828,15.789472579956055,10,9.523809432983398,5,42.85714340209961,35,45,40,5.6835784912109375,17179869184,0,9947103232,0
209,1771775445824,4,4,4,4,4,4,4,4,4,4,57.756492614746094,57.91035842895508,58.72502136230469,57.64292907714844,55.58491134643555,61.0893440246582,78.328125,45.45454788208008,30.000001907348633,19.047618865966797,20,19.047618865966797,14.285715103149414,40,38.095237731933594,42.85714340209961,40,17.21306610107422,17179869184,0,9947103232,0
207,1771775446034,4,4,4,4,4,4,4,4,4,4,57.756492614746094,57.91035842895508,58.72502136230469,57.64292907714844,55.58491134643555,61.0893440246582,78.328125,23.809524536132813,23.809524536132813,19.047618865966797,13.636363983154297,10,4.761904716491699,4.761904716491699,9.523809432983398,9.523809432983398,9.090909004211426,17.21306610107422,17179869184,0,9947103232,0
209,1771775446242,4,4,4,4,4,4,4,4,4,4,57.756492614746094,57.91035842895508,58.72502136230469,57.64292907714844,55.58491134643555,61.0893440246582,78.328125,30.000001907348633,20,14.285715103149414,9.523809432983398,4.761904716491699,0,20,23.809524536132813,23.809524536132813,0,17.21306610107422,17179869184,0,9947103232,0
209,1771775446453,4,4,4,4,4,4,4,4,4,4,55.855098724365234,55.1939582824707,54.964054107666016,55.58064270019531,49.87479019165039,57.931480407714844,78.328125,33.333335876464844,18.18181800842285,14.285715103149414,4.761904716491699,4.761904716491699,0,0,0,0,0,17.21306610107422,17179869184,0,9865887744,0
208,1771775446663,4,4,4,4,4,4,4,4,4,4,55.855098724365234,55.1939582824707,54.964054107666016,55.58064270019531,49.87479019165039,57.931480407714844,78.328125,25,20,10,4.761904716491699,4.545454502105713,0,0,0,0,0,17.21306610107422,17179869184,0,9867231232,0
206,1771775446871,4,4,4,4,4,4,4,4,4,4,55.855098724365234,55.1939582824707,54.964054107666016,55.58064270019531,49.87479019165039,57.931480407714844,78.328125,23.809524536132813,19.047618865966797,13.636363983154297,5,0,9.090909004211426,0,0,0,0,19.742691040039063,17179869184,0,9919152128,0
207,1771775447079,4,4,4,4,4,4,4,4,4,4,55.855098724365234,55.1939582824707,54.964054107666016,55.58064270019531,49.87479019165039,57.931480407714844,78.328125,28.571430206298828,14.285715103149414,9.523809432983398,5,0,0,0,0,0,0,19.742691040039063,17179869184,0,9919070208,0
201,1771775447287,4,4,4,4,4,4,4,4,4,4,43.447811126708984,43.91167068481445,43.44320297241211,43.52629470825195,36.793148040771484,44.01795959472656,46.9375,15.000000953674316,20,5,8.69565200805664,9.523809432983398,0,0,0,0,0,19.742691040039063,17179869184,0,9919283200,0
209,1771775447489,4,4,4,4,4,4,4,4,4,4,43.447811126708984,43.91167068481445,43.44320297241211,43.52629470825195,36.793148040771484,44.01795959472656,46.9375,30.000001907348633,23.809524536132813,20,5.555555820465088,5,0,0,0,0,0,19.742691040039063,17179869184,0,9903063040,0
209,1771775447698,4,4,4,4,4,4,4,4,4,4,43.447811126708984,43.91167068481445,43.44320297241211,43.52629470825195,36.793148040771484,44.01795959472656,46.9375,28.571430206298828,19.047618865966797,14.285715103149414,18.18181800842285,0,0,23.809524536132813,19.047618865966797,5,5,19.742691040039063,17179869184,0,9903063040,0
205,1771775447908,4,4,4,4,4,4,4,4,4,4,43.447811126708984,43.91167068481445,43.44320297241211,43.52629470825195,36.793148040771484,44.01795959472656,46.9375,38.095237731933594,21.052631378173828,14.285715103149414,10,18.18181800842285,9.523809432983398,28.571430206298828,30.000001907348633,33.333335876464844,31.81818199157715,7.159186840057373,17179869184,0,9903063040,0
209,1771775448114,4,4,4,4,4,4,4,4,4,4,43.447811126708984,43.91167068481445,43.44320297241211,43.52629470825195,36.793148040771484,44.01795959472656,46.9375,45,28.571430206298828,21.052631378173828,14.285715103149414,10,14.285715103149414,61.904762268066406,52.38095474243164,60.000003814697266,52.38095474243164,7.159186840057373,17179869184,0,9903063040,0
209,1771775448324,4,4,4,4,4,4,4,4,4,4,48.29411697387695,48.55535125732422,48.277732849121094,48.3216438293457,42.77516174316406,50.1770133972168,72.671875,40,23.809524536132813,13.636363983154297,9.523809432983398,0,0,60.000003814697266,61.904762268066406,63.6363639831543,65,7.159186840057373,17179869184,0,9903063040,0
204,1771775448534,4,4,4,4,4,4,4,4,4,4,48.29411697387695,48.55535125732422,48.277732849121094,48.3216438293457,42.77516174316406,50.1770133972168,72.671875,38.095237731933594,30.000001907348633,10,4.761904716491699,9.090909004211426,0,40.90909194946289,40,40,38.095237731933594,7.159186840057373,17179869184,0,10048389120,0
202,1771775448738,4,4,4,4,4,4,4,4,4,4,48.29411697387695,48.55535125732422,48.277732849121094,48.3216438293457,42.77516174316406,50.1770133972168,72.671875,42.85714340209961,19.047618865966797,19.047618865966797,5,10,5,25,28.571430206298828,27.272727966308594,25,7.159186840057373,17179869184,0,10048667648,0
207,1771775448941,4,4,4,4,4,4,4,4,4,4,48.29411697387695,48.55535125732422,48.277732849121094,48.3216438293457,42.77516174316406,50.1770133972168,72.671875,31.57894515991211,21.052631378173828,10,9.090909004211426,0,4.545454502105713,25,20,21.052631378173828,23.809524536132813,6.076805114746094,17179869184,0,10029367296,0
203,1771775449148,4,4,4,4,4,4,4,4,4,4,48.29411697387695,48.55535125732422,48.277732849121094,48.3216438293457,42.77516174316406,50.1770133972168,72.671875,40,23.809524536132813,14.285715103149414,0,4.761904716491699,4.761904716491699,50,47.619049072265625,47.619049072265625,47.619049072265625,6.076805114746094,17179869184,0,10130194432,0
206,1771775449352,4,4,4,4,4,4,4,4,4,4,53.92143249511719,53.491241455078125,53.277767181396484,53.97428894042969,47.91164016723633,55.618350982666016,75.5,42.85714340209961,25,15.000000953674316,19.047618865966797,15.000000953674316,5.263157844543457,38.095237731933594,40,31.57894515991211,31.57894515991211,6.076805114746094,17179869184,0,10124476416,0
209,1771775449559,4,4,4,4,4,4,4,4,4,4,53.92143249511719,53.491241455078125,53.277767181396484,53.97428894042969,47.91164016723633,55.618350982666016,75.5,35,23.809524536132813,14.285715103149414,5,4.761904716491699,4.761904716491699,19.047618865966797,20,19.047618865966797,19.047618865966797,6.076805114746094,17179869184,0,10125557760,0
