Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772200518758,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.421875,34.98076629638672,35.09235763549805,34.78969192504883,37.47063064575195,37.1131706237793,NaN,0,0,0,0,0,0,0,0,0,0,2.5384678840637207,19327352832,2147483648,11937611776,1080229888
204,1772200518759,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.421875,34.98076629638672,35.09235763549805,34.78969192504883,37.47063064575195,37.1131706237793,100,NaN,0,0,0,0,0,0,0,0,NaN,2.5384678840637207,19327352832,2147483648,11938562048,1080229888
199,1772200518964,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.421875,34.98076629638672,35.09235763549805,34.78969192504883,37.47063064575195,37.1131706237793,28.571430206298828,19.047618865966797,0,9.523809432983398,14.285715103149414,4.761904716491699,0,14.285715103149414,0,4.761904716491699,9.523809432983398,2.5384678840637207,19327352832,2147483648,11941593088,1080229888
201,1772200519165,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.421875,34.98076629638672,35.09235763549805,34.78969192504883,37.47063064575195,37.1131706237793,31.57894515991211,15.789472579956055,0,9.523809432983398,10,0,0,0,0,0,0,2.350860118865967,19327352832,2147483648,11941593088,1080229888
204,1772200519367,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.421875,34.98076629638672,35.09235763549805,34.78969192504883,37.47063064575195,37.1131706237793,33.333335876464844,19.047618865966797,0,0,0,0,0,0,0,0,0,2.350860118865967,19327352832,2147483648,11941789696,1080229888
204,1772200519572,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.421875,34.98076629638672,35.09235763549805,34.78969192504883,37.47063064575195,37.1131706237793,31.57894515991211,21.052631378173828,23.809524536132813,23.809524536132813,19.047618865966797,19.047618865966797,14.285715103149414,33.333335876464844,33.333335876464844,25,28.571430206298828,2.350860118865967,19327352832,2147483648,11954208768,1080229888
203,1772200519778,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,35.30522537231445,35.37665557861328,35.04867172241211,37.93318176269531,37.260223388671875,23.809524536132813,14.285715103149414,0,0,0,4.761904716491699,0,0,0,0,0,2.350860118865967,19327352832,2147483648,11953979392,1080229888
204,1772200519981,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,35.30522537231445,35.37665557861328,35.04867172241211,37.93318176269531,37.260223388671875,35,28.571430206298828,0,15.000000953674316,5,0,0,5,0,9.523809432983398,9.523809432983398,2.350860118865967,19327352832,2147483648,11941822464,1080229888
204,1772200520186,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,35.30522537231445,35.37665557861328,35.04867172241211,37.93318176269531,37.260223388671875,35,25,0,35,15.000000953674316,9.523809432983398,9.523809432983398,9.523809432983398,0,14.285715103149414,5,2.993128538131714,19327352832,2147483648,11941314560,1080229888
204,1772200520391,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,35.30522537231445,35.37665557861328,35.04867172241211,37.93318176269531,37.260223388671875,40,25,0,33.333335876464844,14.285715103149414,0,0,20,0,5.263157844543457,9.523809432983398,2.993128538131714,19327352832,2147483648,11941314560,1080229888
204,1772200520597,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.875,35.30522537231445,35.37665557861328,35.04867172241211,37.93318176269531,37.260223388671875,47.619049072265625,35,0,31.57894515991211,31.57894515991211,19.047618865966797,20,15.000000953674316,10,13.636363983154297,20,2.993128538131714,19327352832,2147483648,12007604224,1080229888
