Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772191619995,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.14888381958008,37.22757339477539,36.74173355102539,39.513519287109375,39.113399505615234,NaN,0,0,0,0,0,0,0,0,0,0,2.8142268657684326,19327352832,2147483648,11964039168,1080229888
201,1772191619995,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.14888381958008,37.22757339477539,36.74173355102539,39.513519287109375,39.113399505615234,50,NaN,0,50,0,0,NaN,NaN,0,0,0,2.8142268657684326,19327352832,2147483648,11964907520,1080229888
201,1772191620197,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.14888381958008,37.22757339477539,36.74173355102539,39.513519287109375,39.113399505615234,36.842105865478516,25,4.761904716491699,15.789472579956055,15.000000953674316,5,4.761904716491699,15.000000953674316,0,15.000000953674316,5.555555820465088,2.7999629974365234,19327352832,2147483648,11979161600,1080229888
204,1772191620398,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.14888381958008,37.22757339477539,36.74173355102539,39.513519287109375,39.113399505615234,35,30.000001907348633,0,23.809524536132813,23.809524536132813,10,0,9.523809432983398,9.523809432983398,21.052631378173828,19.047618865966797,2.7999629974365234,19327352832,2147483648,11978964992,1080229888
204,1772191620603,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.609375,37.14888381958008,37.22757339477539,36.74173355102539,39.513519287109375,39.113399505615234,40,30.000001907348633,0,15.000000953674316,15.000000953674316,14.285715103149414,9.523809432983398,10.526315689086914,5,25,9.523809432983398,2.7999629974365234,19327352832,2147483648,11974852608,1080229888
204,1772191620808,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.43621063232422,37.488975524902344,36.9251708984375,39.820770263671875,39.35249710083008,35,23.809524536132813,0,15.000000953674316,10,0,0,38.095237731933594,14.285715103149414,31.81818199157715,15.000000953674316,2.7999629974365234,19327352832,2147483648,11990663168,1080229888
203,1772191621014,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.43621063232422,37.488975524902344,36.9251708984375,39.820770263671875,39.35249710083008,33.333335876464844,25,0,15.000000953674316,15.000000953674316,0,0,4.761904716491699,0,5.263157844543457,9.523809432983398,2.7999629974365234,19327352832,2147483648,11990614016,1080229888
204,1772191621217,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.43621063232422,37.488975524902344,36.9251708984375,39.820770263671875,39.35249710083008,35,26.3157901763916,0,20,14.285715103149414,10,5,10,0,4.761904716491699,5,4.570615291595459,19327352832,2147483648,11990810624,1080229888
202,1772191621422,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.43621063232422,37.488975524902344,36.9251708984375,39.820770263671875,39.35249710083008,40,38.095237731933594,0,23.809524536132813,15.000000953674316,9.523809432983398,9.523809432983398,14.285715103149414,0,10,10,4.570615291595459,19327352832,2147483648,11990663168,1080229888
203,1772191621626,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.84375,37.43621063232422,37.488975524902344,36.9251708984375,39.820770263671875,39.35249710083008,45,30.000001907348633,0,25,28.571430206298828,15.000000953674316,5,10.526315689086914,0,10,15.000000953674316,4.570615291595459,19327352832,2147483648,12049514496,1080229888
200,1772191621830,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.09375,37.317562103271484,37.442161560058594,36.878578186035156,39.68101119995117,39.34584426879883,40,25,0,15.789472579956055,10.526315689086914,9.523809432983398,4.761904716491699,19.047618865966797,9.523809432983398,9.523809432983398,14.285715103149414,4.570615291595459,19327352832,2147483648,12049629184,1080229888
204,1772191622032,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.09375,37.317562103271484,37.442161560058594,36.878578186035156,39.68101119995117,39.34584426879883,42.105262756347656,30.000001907348633,0,38.095237731933594,19.047618865966797,5.263157844543457,5.263157844543457,5,0,15.000000953674316,10,4.570615291595459,19327352832,2147483648,12033310720,1080229888
202,1772191622237,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.09375,37.317562103271484,37.442161560058594,36.878578186035156,39.68101119995117,39.34584426879883,33.333335876464844,25,0,15.000000953674316,10,10,4.761904716491699,4.761904716491699,0,0,0,5.302124500274658,19327352832,2147483648,12033458176,1080229888
