Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771549607509,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.3125,46.28352355957031,46.20323944091797,46.1578369140625,48.672950744628906,48.345645904541016,50,0,0,0,0,0,0,0,0,0,0,2.772562265396118,19327352832,2147483648,10965483520,1127677952
205,1771549607509,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.3125,46.28352355957031,46.20323944091797,46.1578369140625,48.672950744628906,48.345645904541016,NaN,100,0,0,0,0,0,0,0,0,0,2.772562265396118,19327352832,2147483648,10966269952,1127677952
204,1771549607715,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.796875,46.37778091430664,46.25950622558594,46.19356918334961,48.75623321533203,48.34315490722656,42.85714340209961,40,9.523809432983398,28.571430206298828,15.000000953674316,10,10,21.052631378173828,10,35,25,2.772562265396118,19327352832,2147483648,11081564160,1127677952
200,1771549607920,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.796875,46.37778091430664,46.25950622558594,46.19356918334961,48.75623321533203,48.34315490722656,40,47.36842346191406,4.761904716491699,15.789472579956055,18.18181800842285,9.523809432983398,9.090909004211426,4.761904716491699,9.523809432983398,4.761904716491699,9.523809432983398,2.772562265396118,19327352832,2147483648,11144085504,1127677952
204,1771549608121,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.796875,46.37778091430664,46.25950622558594,46.19356918334961,48.75623321533203,48.34315490722656,55,57.142860412597656,0,33.333335876464844,20,19.047618865966797,5.263157844543457,10,0,9.523809432983398,5,2.585622549057007,19327352832,2147483648,11144085504,1127677952
204,1771549608327,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.796875,46.37778091430664,46.25950622558594,46.19356918334961,48.75623321533203,48.34315490722656,47.36842346191406,25,0,15.000000953674316,5.263157844543457,0,4.761904716491699,4.761904716491699,0,15.789472579956055,0,2.585622549057007,19327352832,2147483648,11144839168,1127677952
201,1771549608532,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.796875,46.37778091430664,46.25950622558594,46.19356918334961,48.75623321533203,48.34315490722656,57.142860412597656,47.619049072265625,5,25,23.809524536132813,19.047618865966797,5,0,0,4.761904716491699,5,2.585622549057007,19327352832,2147483648,11123736576,1127677952
204,1771549608734,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.28125,46.68888854980469,46.59401321411133,46.43813705444336,49.170894622802734,48.45012664794922,45,26.3157901763916,0,15.789472579956055,15.000000953674316,14.285715103149414,4.761904716491699,0,0,4.761904716491699,4.761904716491699,2.585622549057007,19327352832,2147483648,11128553472,1127677952
200,1771549608939,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.28125,46.68888854980469,46.59401321411133,46.43813705444336,49.170894622802734,48.45012664794922,30.000001907348633,30.000001907348633,0,20,5,0,0,0,0,0,0,2.585622549057007,19327352832,2147483648,11128193024,1127677952
199,1771549609141,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.28125,46.68888854980469,46.59401321411133,46.43813705444336,49.170894622802734,48.45012664794922,40,30.000001907348633,0,23.809524536132813,20,10,10,0,0,0,0,3.2714931964874268,19327352832,2147483648,11126439936,1127677952
199,1771549609341,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.28125,46.68888854980469,46.59401321411133,46.43813705444336,49.170894622802734,48.45012664794922,36.842105865478516,21.052631378173828,0,15.789472579956055,10,5,15.000000953674316,0,0,0,0,3.2714931964874268,19327352832,2147483648,11126423552,1127677952
204,1771549609541,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.3125,46.133026123046875,45.99791717529297,46.020450592041016,48.433406829833984,48.22597885131836,45,30.000001907348633,0,25,10,10,5.263157844543457,9.090909004211426,0,19.047618865966797,5,3.2714931964874268,19327352832,2147483648,11096899584,1127677952
204,1771549609747,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.3125,46.133026123046875,45.99791717529297,46.020450592041016,48.433406829833984,48.22597885131836,35,30.000001907348633,0,14.285715103149414,10,5,9.090909004211426,0,0,0,0,3.2714931964874268,19327352832,2147483648,11096047616,1127677952
