Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771555124872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.23011016845703,34.27107238769531,34.22401809692383,36.540645599365234,36.2944450378418,0,0,0,33.333335876464844,0,0,0,0,0,0,0,2.1708147525787354,19327352832,2147483648,11360894976,1127677952
204,1771555124872,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.23011016845703,34.27107238769531,34.22401809692383,36.540645599365234,36.2944450378418,50,100,0,NaN,0,0,0,0,0,0,0,2.1708147525787354,19327352832,2147483648,11362271232,1127677952
204,1771555125077,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.23011016845703,34.27107238769531,34.22401809692383,36.540645599365234,36.2944450378418,35,38.095237731933594,23.809524536132813,20,15.000000953674316,13.636363983154297,5,28.571430206298828,13.636363983154297,33.333335876464844,5,1.8362033367156982,19327352832,2147483648,11392417792,1127677952
203,1771555125283,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.23011016845703,34.27107238769531,34.22401809692383,36.540645599365234,36.2944450378418,42.85714340209961,42.105262756347656,5,19.047618865966797,10,10,4.761904716491699,5,10,5,4.761904716491699,1.8362033367156982,19327352832,2147483648,11521163264,1127677952
204,1771555125487,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,32.203125,34.23011016845703,34.27107238769531,34.22401809692383,36.540645599365234,36.2944450378418,45,52.38095474243164,15.000000953674316,25,20,10,10,10,0,14.285715103149414,0,1.8362033367156982,19327352832,2147483648,11521163264,1127677952
201,1771555125692,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,34.928340911865234,34.80424118041992,34.841915130615234,37.36347961425781,36.71788024902344,45,30.000001907348633,10,23.809524536132813,14.285715103149414,4.761904716491699,4.761904716491699,9.090909004211426,14.285715103149414,20,10,1.8362033367156982,19327352832,2147483648,11526422528,1127677952
200,1771555125894,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,34.928340911865234,34.80424118041992,34.841915130615234,37.36347961425781,36.71788024902344,57.894737243652344,45,9.523809432983398,31.57894515991211,20,10.526315689086914,5.263157844543457,10.526315689086914,0,0,5,1.8362033367156982,19327352832,2147483648,11531354112,1127677952
203,1771555126095,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,34.928340911865234,34.80424118041992,34.841915130615234,37.36347961425781,36.71788024902344,35,30.000001907348633,14.285715103149414,15.789472579956055,10.526315689086914,9.523809432983398,4.761904716491699,10,4.761904716491699,9.090909004211426,4.761904716491699,1.7369563579559326,19327352832,2147483648,11544838144,1127677952
203,1771555126299,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,34.928340911865234,34.80424118041992,34.841915130615234,37.36347961425781,36.71788024902344,65,50,0,40.90909194946289,28.571430206298828,20,25,4.761904716491699,0,0,0,1.7369563579559326,19327352832,2147483648,11544838144,1127677952
203,1771555126505,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.65625,34.928340911865234,34.80424118041992,34.841915130615234,37.36347961425781,36.71788024902344,50,45,0,26.3157901763916,23.809524536132813,10,9.523809432983398,0,0,0,0,1.7369563579559326,19327352832,2147483648,11544838144,1127677952
203,1771555126709,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.538780212402344,34.54926300048828,34.531272888183594,36.9285774230957,36.653133392333984,57.142860412597656,40,0,33.333335876464844,25,20,10.526315689086914,0,0,0,0,1.7369563579559326,19327352832,2147483648,11525750784,1127677952
202,1771555126913,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.538780212402344,34.54926300048828,34.531272888183594,36.9285774230957,36.653133392333984,47.36842346191406,35,0,21.052631378173828,20,14.285715103149414,9.523809432983398,0,0,0,0,1.7369563579559326,19327352832,2147483648,11525799936,1127677952
203,1771555127116,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.538780212402344,34.54926300048828,34.531272888183594,36.9285774230957,36.653133392333984,40,31.57894515991211,0,23.809524536132813,10,9.523809432983398,5,4.761904716491699,0,4.761904716491699,0,4.890216827392578,19327352832,2147483648,11525799936,1127677952
204,1771555127320,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,33.171875,34.538780212402344,34.54926300048828,34.531272888183594,36.9285774230957,36.653133392333984,40,30.000001907348633,0,15.789472579956055,15.000000953674316,5.263157844543457,9.523809432983398,0,0,0,0,4.890216827392578,19327352832,2147483648,11525799936,1127677952
