Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772104988862,1000,1000,999,1000,999,1000,999,1000,20.833332061767578,23.913043975830078,19.148937225341797,19.148937225341797,17.39130401611328,20.833332061767578,20.833332061767578,25,3912.4713745117188,27268.465454101563,21880.716247558594,1441.1266479492188,33360306176,2147479552,5046259712,0
199,1772104988862,1000,1000,999,1000,999,1000,999,1000,20.833332061767578,23.913043975830078,19.148937225341797,19.148937225341797,17.39130401611328,20.833332061767578,20.833332061767578,25,3912.47216796875,27268.466186523438,21880.716247558594,1441.1266479492188,33360306176,2147479552,5046259712,0
199,1772104989062,1000,1000,999,1000,999,1000,999,1000,20,19.047618865966797,15.000000953674316,10,38.095237731933594,5.555555820465088,40,10.526315689086914,3912.6249389648438,27269.49871826172,21881.55889892578,1441.1266479492188,33360306176,2147479552,5082234880,0
199,1772104989262,1000,1000,999,1000,999,1000,999,1000,11.111111640930176,31.57894515991211,26.3157901763916,20,25,20,15.789472579956055,15.789472579956055,3912.7634887695313,27270.142028808594,21881.899047851563,1441.1266479492188,33360306176,2147479552,5090820096,0
200,1772104989462,1000,1000,999,1000,999,1000,999,1000,11.111111640930176,31.57894515991211,26.3157901763916,20,25,20,15.789472579956055,15.789472579956055,3912.9420776367188,27272.97979736328,21884.400024414063,1441.1266479492188,33360306176,2147479552,5111574528,0
200,1772104989662,1000,1000,999,1000,999,1000,999,1000,12.5,15.384615898132324,7.500000476837158,7.500000476837158,85,7.500000476837158,7.500000476837158,7.317072868347168,3913.0933227539063,27276.712890625,21887.887451171875,1441.1702880859375,33360306176,2147479552,5113364480,0
200,1772104989862,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,100,0,0,0,3913.2083129882813,27280.015014648438,21891.00848388672,1441.1702880859375,33360306176,2147479552,5113622528,0
200,1772104990062,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,100,0,0,5,3913.3225708007813,27283.716674804688,21894.529418945313,1441.1702880859375,33360306176,2147479552,5113622528,0
200,1772104990263,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,100,0,0,0,3913.4383544921875,27287.220092773438,21897.851623535156,1441.1702880859375,33360306176,2147479552,5113622528,0
200,1772104990463,1000,1000,999,1000,999,1000,999,1000,0,0,0,0,100,0,0,0,3913.5537109375,27290.112731933594,21900.561767578125,1441.1702880859375,33360306176,2147479552,5113876480,0
200,1772104990663,1000,1000,999,1000,999,1000,999,1000,9.523809432983398,10,5,0,100,4.761904716491699,0,0,3913.6763916015625,27294.27032470703,21904.537109375,1441.1702880859375,33360306176,2147479552,5114392576,0
200,1772104990863,1000,1000,999,1000,999,1000,999,1000,84.21052551269531,0,0,0,15.000000953674316,0,0,0,3913.7930297851563,27297.987731933594,21908.073364257813,1441.1702880859375,33360306176,2147479552,5114392576,0
200,1772104991063,1000,1000,999,1000,999,1000,999,1000,100,4.761904716491699,0,0,0,0,0,0,3913.9072265625,27300.795288085938,21910.7001953125,1441.1702880859375,33360306176,2147479552,5114392576,0
200,1772104991263,1000,1000,999,1000,999,1000,999,1000,100,0,0,0,0,0,0,0,3914.0215454101563,27304.116455078125,21913.840698242188,1441.1702880859375,33360306176,2147479552,5114392576,0
199,1772104991463,1000,1000,999,1000,999,1000,999,1000,100,0,4.761904716491699,0,0,0,0,0,3914.1370239257813,27307.25115966797,21916.79412841797,1441.1702880859375,33360306176,2147479552,5114392576,0
200,1772104991663,1000,1000,999,1000,999,1000,999,1000,100,0,0,0,0,0,0,4.761904716491699,3914.25390625,27311.091430664063,21920.452209472656,1441.1702880859375,33360306176,2147479552,5115166720,0
200,1772104991863,1000,1000,999,1000,999,1000,999,1000,30.000001907348633,0,0,0,71.42857360839844,0,0,0,3914.37158203125,27314.664184570313,21923.842712402344,1441.1702880859375,33360306176,2147479552,5115166720,0
200,1772104992063,1000,1000,999,1000,999,1000,999,1000,75,0,0,0,25,0,0,0,3914.4866943359375,27317.82891845703,21926.825927734375,1441.1702880859375,33360306176,2147479552,5115166720,0
200,1772104992264,1000,1000,999,1000,999,1000,999,1000,100,0,0,0,0,0,4.761904716491699,0,3914.6013793945313,27320.493225097656,21929.309143066406,1441.1702880859375,33360306176,2147479552,5115166720,0
200,1772104992464,1000,1000,999,1000,999,1000,999,1000,65,20,5.263157844543457,10,5.263157844543457,10,0,10,3914.775146484375,27324.487670898438,21933.04296875,1441.1702880859375,33360306176,2147479552,5094752256,0
0,1772104992664,1000,1000,999,1000,999,1000,999,1000,0,0,5,5,0,0,4.761904716491699,0,3914.9013671875,27325.04754638672,21933.364135742188,1441.1702880859375,33360306176,2147479552,5079113728,0
