elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
126.06,4.8,7399.4,61.2,2.45,91.28
127.08,4.7,7399.9,61.1,2.46,91.29
128.08,3.8,7399.6,61.2,2.46,91.29
129.09,3.8,7399.6,61.2,2.47,91.29
130.1,3.9,7405.8,61.2,2.47,91.29
131.11,4.5,7405.6,61.2,2.47,91.29
132.12,5.5,7409.6,61.2,2.98,91.8
133.13,3.7,7409.7,61.2,2.98,91.8
134.14,7.0,7477.2,61.7,3.02,91.84
135.15,1.0,7477.1,61.6,3.02,91.84
