elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,3.6,6684.9,57.1,0.0,0.0
1.01,28.8,7225.8,60.2,0.03,0.08
2.02,46.0,7349.4,61.0,0.61,3.58
3.03,26.2,7211.2,60.1,0.79,5.83
4.04,7.5,7243.6,60.4,0.79,5.83
5.04,17.6,7375.8,61.2,2.33,7.7
6.05,29.3,7406.6,61.3,2.66,8.62
7.06,13.9,7327.9,60.8,2.72,8.67
8.08,9.4,7382.9,61.2,2.72,8.67
9.08,13.1,7377.9,61.1,2.73,8.7
10.09,5.1,7299.3,60.7,2.74,8.76
11.1,6.6,7310.4,60.7,2.74,8.77
12.11,8.6,7216.7,60.2,2.78,8.77
13.12,12.1,7185.8,60.0,2.81,12.53
14.13,22.1,7182.5,60.0,2.98,34.78
15.14,12.7,7175.3,59.9,3.14,54.88
16.15,3.1,7153.1,59.8,3.14,54.88
17.16,3.6,7145.7,59.8,3.15,54.89
18.17,3.2,7139.7,59.8,3.15,54.89
19.18,3.5,7135.4,59.8,3.15,54.89
20.19,9.7,7154.5,59.8,3.15,54.89
21.19,3.6,7141.8,59.8,3.15,54.89
22.2,5.2,7142.1,59.8,3.15,54.89
23.21,3.1,7143.2,59.8,3.15,54.89
24.22,3.0,7144.1,59.7,3.15,54.89
25.23,3.5,7145.0,59.8,3.15,54.89
26.24,2.7,7145.7,59.8,3.15,54.89
27.25,3.1,7145.9,59.8,3.16,54.89
28.26,3.1,7146.6,59.8,3.16,54.89
29.27,3.5,7147.5,59.8,3.16,54.89
30.28,4.5,7144.1,59.7,3.17,54.89
31.29,4.3,7149.9,59.8,3.17,54.89
32.3,7.3,7111.1,59.5,3.17,54.89
33.31,5.2,7118.9,59.6,3.17,54.9
34.32,2.9,7119.3,59.6,3.17,54.9
35.33,3.2,7119.5,59.6,3.17,54.9
36.34,2.7,7115.7,59.6,3.18,54.9
37.35,4.4,7111.1,59.6,3.18,54.9
38.36,4.7,7112.7,59.6,3.18,54.9
39.36,3.0,7113.7,59.6,3.18,54.9
40.37,5.5,7115.4,59.6,3.18,54.9
41.38,7.7,7117.1,59.6,3.2,54.91
42.39,3.2,7117.4,59.6,3.2,54.91
43.39,3.7,7116.5,59.6,3.2,54.91
44.4,3.4,7117.1,59.6,3.2,54.91
45.41,3.4,7117.5,59.6,3.2,54.92
46.42,4.5,7118.3,59.6,3.21,54.92
47.43,5.6,7098.5,59.5,3.21,54.92
48.44,4.2,7099.6,59.5,3.21,54.92
49.45,4.1,7099.9,59.5,3.21,54.92
50.46,3.3,7100.2,59.5,3.21,54.92
51.46,3.1,7100.3,59.5,3.22,54.92
52.47,4.9,7096.6,59.5,3.22,54.92
53.48,2.9,7097.1,59.5,3.22,54.92
54.49,3.4,7097.7,59.5,3.22,54.92
55.5,3.2,7098.2,59.5,3.22,54.92
56.51,3.1,7099.0,59.5,3.22,54.92
57.52,3.3,7098.8,59.5,3.22,54.92
58.53,3.8,7099.5,59.5,3.23,54.92
59.54,3.4,7099.9,59.5,3.23,54.92
60.55,3.4,7100.8,59.5,3.23,54.92
61.56,3.6,7101.4,59.5,3.24,54.93
62.57,3.2,7096.6,59.5,3.24,54.93
63.58,3.3,7090.1,59.4,3.24,54.94
64.59,3.2,7090.0,59.5,3.24,54.94
65.6,3.1,7089.7,59.5,3.24,54.94
66.6,3.0,7089.7,59.5,3.24,54.94
67.61,3.6,7164.0,59.9,3.25,54.94
68.62,4.0,7164.7,59.9,3.25,54.94
69.63,4.0,7154.6,59.8,3.25,54.94
70.64,3.3,7154.4,59.8,3.25,54.94
71.65,4.4,7154.5,59.8,3.25,54.94
72.66,3.1,7153.7,59.8,3.26,54.94
73.67,3.3,7153.4,59.8,3.26,54.94
74.68,3.2,7153.3,59.8,3.26,54.95
75.69,3.1,7134.3,59.7,3.26,54.95
76.7,2.9,7125.8,59.6,3.26,54.95
77.71,3.0,7119.0,59.6,3.26,54.95
78.72,3.9,7119.5,59.6,3.26,54.95
79.73,3.0,7119.5,59.7,3.27,54.95
80.74,3.1,7119.6,59.7,3.27,54.95
81.75,2.7,7119.7,59.7,3.27,54.95
82.75,4.6,7119.8,59.7,3.27,54.95
83.76,3.0,7119.7,59.7,3.27,54.95
84.77,3.1,7119.9,59.6,3.27,54.95
85.78,3.2,7120.0,59.6,3.27,54.95
86.79,3.3,7120.5,59.6,3.27,54.95
87.8,3.0,7120.6,59.6,3.27,54.95
88.81,3.7,7121.2,59.7,3.27,54.95
89.82,3.7,7121.7,59.7,3.28,54.95
90.83,3.3,7115.3,59.6,3.28,54.95
91.84,6.2,7115.4,59.6,3.29,55.03
92.85,3.3,7115.5,59.6,3.29,55.03
93.86,3.0,7115.3,59.6,3.29,55.03
94.87,3.3,7115.2,59.6,3.29,55.03
95.88,2.8,7115.1,59.6,3.3,55.03
96.89,3.2,7115.6,59.6,3.3,55.03
97.9,3.1,7115.7,59.6,3.3,55.03
98.91,3.0,7116.2,59.6,3.3,55.03
99.92,3.4,7116.7,59.6,3.3,55.03
100.93,4.6,7117.8,59.6,3.3,55.04
101.94,3.1,7117.9,59.6,3.3,55.04
102.95,2.8,7117.8,59.6,3.31,55.04
103.96,4.6,7118.4,59.6,3.31,55.04
104.96,5.3,7118.6,59.6,3.31,55.04
105.97,3.0,7118.1,59.6,3.32,55.04
106.98,3.1,7117.8,59.6,3.32,55.04
107.99,2.7,7117.9,59.6,3.32,55.04
109.0,3.5,7117.8,59.6,3.32,55.04
