elapsed_s,cpu_percent,memory_mb,memory_percent,net_sent_mb_cumulative,net_recv_mb_cumulative
0.0,3.7,6789.6,57.6,0.0,0.0
1.0,33.9,7262.1,60.4,0.04,0.08
2.02,46.5,7426.4,61.3,0.69,3.87
3.03,20.7,7323.8,60.7,0.77,5.73
4.04,8.5,7266.7,60.4,0.78,5.73
5.04,16.9,7428.5,61.4,2.33,7.73
6.06,28.4,7515.0,61.9,2.65,8.53
7.07,14.3,7433.2,61.4,2.71,8.58
8.08,11.5,7399.1,61.2,2.71,8.59
9.09,10.5,7385.9,61.1,2.72,8.62
10.1,4.1,7316.1,60.7,2.73,8.67
11.11,6.8,7367.9,61.0,2.74,8.68
12.12,8.3,7266.2,60.4,2.77,8.69
13.13,11.7,7232.7,60.2,2.79,12.44
14.14,22.0,7219.6,60.2,2.92,27.81
15.14,12.7,7226.0,60.2,3.13,54.79
16.15,6.8,7190.2,60.0,3.13,54.79
17.16,3.0,7176.3,59.9,3.13,54.79
18.17,3.3,7174.8,59.9,3.13,54.79
19.18,3.5,7171.3,59.8,3.13,54.79
20.19,10.0,7199.5,60.0,3.13,54.79
21.2,3.4,7185.5,60.0,3.14,54.79
22.21,3.1,7186.6,60.0,3.14,54.79
23.22,5.1,7187.6,59.9,3.14,54.79
24.23,2.7,7188.6,60.0,3.14,54.79
25.24,3.4,7190.2,60.0,3.14,54.79
26.25,3.0,7190.5,60.0,3.14,54.79
27.26,2.9,7191.1,60.0,3.14,54.8
28.27,2.9,7190.7,60.0,3.14,54.8
29.28,4.9,7193.4,60.0,3.15,54.8
30.29,3.7,7185.9,59.9,3.15,54.8
31.3,6.1,7195.4,60.0,3.15,54.8
32.31,5.2,7204.4,60.0,3.15,54.8
33.32,3.4,7204.8,60.1,3.15,54.8
34.33,3.4,7205.1,60.1,3.15,54.8
35.34,3.2,7204.7,60.0,3.16,54.8
36.34,3.4,7205.0,60.1,3.16,54.8
37.35,6.2,7242.8,60.3,3.16,54.8
38.36,5.6,7243.7,60.3,3.16,54.8
39.37,3.4,7244.4,60.3,3.16,54.8
40.38,3.2,7245.3,60.3,3.16,54.8
41.4,3.7,7245.7,60.3,3.16,54.8
42.41,3.2,7245.8,60.3,3.17,54.8
43.41,3.2,7243.5,60.3,3.17,54.8
44.42,3.2,7244.0,60.3,3.17,54.81
45.42,3.1,7215.1,60.1,3.17,54.81
46.43,2.8,7213.5,60.1,3.17,54.81
47.45,5.4,7187.5,60.0,3.17,54.81
48.46,3.9,7182.3,59.9,3.17,54.81
49.47,4.7,7182.9,59.9,3.18,54.81
50.48,3.1,7183.2,59.9,3.18,54.81
51.49,3.2,7183.4,60.0,3.18,54.81
52.49,3.7,7181.1,59.9,3.18,54.81
53.5,5.4,7182.3,60.0,3.18,54.81
54.51,2.9,7182.6,60.0,3.18,54.81
55.52,3.3,7183.3,60.0,3.19,54.81
56.53,3.7,7184.0,59.9,3.19,54.81
57.54,3.1,7184.5,59.9,3.19,54.81
58.54,3.2,7184.2,59.9,3.19,54.81
59.55,3.7,7184.4,59.9,3.19,54.81
60.56,3.5,7184.9,60.0,3.19,54.81
61.57,8.6,7187.5,60.0,3.21,54.97
62.57,10.4,7188.4,59.9,3.24,59.95
63.58,20.3,7197.1,60.0,3.26,60.71
64.59,18.2,7199.2,60.0,3.28,61.22
65.59,9.4,7199.5,60.0,3.29,61.53
66.6,6.5,7199.6,60.0,3.3,62.47
67.61,10.6,7199.8,60.0,3.31,67.2
68.62,11.5,7204.6,60.0,3.32,67.29
69.63,5.3,7203.9,60.1,3.32,67.3
70.64,3.1,7203.9,60.1,3.32,67.3
71.65,4.0,7204.1,60.1,3.32,67.3
72.66,3.0,7203.1,60.1,3.33,67.3
73.66,4.0,7203.0,60.1,3.34,67.3
74.67,2.8,7202.3,60.1,3.34,67.3
75.68,3.0,7202.1,60.1,3.34,67.3
76.69,3.1,7202.3,60.1,3.34,67.3
77.7,3.1,7202.4,60.0,3.34,67.3
78.71,3.9,7201.8,60.0,3.34,67.3
79.71,3.4,7201.9,60.0,3.34,67.3
80.72,3.3,7202.3,60.0,3.34,67.3
81.73,3.4,7202.3,60.0,3.34,67.3
82.74,4.1,7202.4,60.1,3.34,67.3
83.75,2.8,7202.5,60.1,3.34,67.3
84.76,3.0,7202.6,60.1,3.34,67.3
85.77,3.1,7202.1,60.1,3.35,67.31
86.78,2.9,7202.6,60.1,3.35,67.31
87.78,2.8,7202.1,60.0,3.35,67.31
88.79,3.0,7202.5,60.1,3.35,67.31
89.8,4.2,7203.0,60.1,3.35,67.31
90.81,2.9,7191.8,60.0,3.35,67.31
91.82,3.4,7192.1,60.0,3.35,67.31
92.83,3.0,7192.2,60.0,3.35,67.31
93.84,2.7,7192.2,60.0,3.35,67.31
94.85,3.4,7192.2,60.0,3.36,67.31
95.86,3.0,7192.1,60.0,3.36,67.31
96.87,3.2,7192.5,60.0,3.36,67.31
97.88,3.6,7240.0,60.3,3.36,67.31
98.89,3.9,7240.2,60.3,3.36,67.31
99.9,3.0,7240.3,60.3,3.36,67.31
100.91,3.3,7240.4,60.2,3.37,67.31
101.92,2.8,7240.3,60.2,3.37,67.31
102.93,3.1,7240.4,60.3,3.37,67.31
103.94,3.0,7240.0,60.3,3.37,67.31
104.95,2.9,7240.3,60.3,3.37,67.31
105.96,3.1,7210.8,60.1,3.38,67.32
106.96,2.7,7208.9,60.1,3.38,67.32
107.97,2.7,7200.4,60.0,3.38,67.32
108.98,3.0,7194.1,60.0,3.38,67.32
109.99,3.0,7194.1,60.0,3.38,67.32
111.0,4.5,7194.1,60.0,3.38,67.32
112.01,2.7,7194.1,60.0,3.38,67.32
113.02,4.9,7194.2,60.0,3.38,67.32
114.03,2.9,7194.3,60.0,3.38,67.32
115.04,2.8,7194.2,60.0,3.38,67.32
116.05,2.6,7194.3,60.0,3.38,67.32
117.06,4.3,7195.7,60.0,3.39,67.32
118.07,3.3,7196.0,60.0,3.39,67.32
119.07,3.2,7196.4,60.0,3.39,67.32
120.08,2.8,7196.6,60.0,3.39,67.32
121.08,3.6,7196.6,60.0,3.39,67.32
122.09,2.9,7196.1,60.0,3.39,67.32
123.1,3.4,7195.6,60.0,3.39,67.32
124.11,2.7,7195.4,60.0,3.39,67.32
125.12,3.6,7195.3,60.0,3.39,67.32
