Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772045550300,12706.417541503906,3960,1,0.375,184421.58868408203,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0,0,0,0,0,0,0,0,39.54156494140625,0,0,0,0,0,0,0,33411727360,21474836480,6879428608,0
200,1772045550300,15281.072723388672,5025,0,0.3812500000000001,184421.62322998047,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33411727360,21474836480,6879444992,0
200,1772045550501,15281.568450927734,4040,1,0.3812500000000001,184427.2250366211,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.58856201171875,3.2567214965820313,1.9922103881835938,1.68353271484375,1.589324951171875,1.6562881469726563,1.55755615234375,1.6914443969726563,48.07448959350586,2.3236541748046875,1.5857315063476563,2.5073928833007813,2.0478668212890625,1.9277496337890625,54.696205139160156,6.690162658691406,33411727360,21474836480,7935250432,0
200,1772045550701,12707.179748535156,3350,1,0.40625,184433.013961792,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.9186782836914063,0.9306640625,0.5798568725585938,0.46770477294921875,0.27336883544921875,0.38262939453125,0.5081710815429688,0.32891845703125,93.16204071044922,5.542259216308594,1.22601318359375,5.7655181884765625,0.821502685546875,0.34560394287109375,7.528076171875,2.037078857421875,33411727360,21474836480,9112674304,0
199,1772045550901,12707.195373535156,3350,1,0.41874999999999996,184438.76153564453,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.7159576416015625,0.6652755737304688,0.5956802368164063,0.20916748046875,0.7423934936523438,0.43151092529296875,0.15110015869140625,0.2799072265625,100,0.17404937744140625,0.20093536376953125,0.29876708984375,0.30071258544921875,0.44503021240234375,2.8690109252929688,0.65374755859375,33411727360,21474836480,9558835200,0
199,1772045551101,12707.203216552734,3366.6666666666665,1,0.4125000000000001,184444.26960754395,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.75347900390625,0.30750274658203125,0.330841064453125,0.34108734130859375,0.17476654052734375,0.19290924072265625,0.498260498046875,0.2006988525390625,70.98839569091797,29.377975463867188,0.1694183349609375,0.16677093505859375,0.20494842529296875,0.29265594482421875,2.5000839233398438,0.30860137939453125,33411727360,21474836480,9964466176,0
199,1772045551301,12707.232315063477,3366.6666666666665,1,0.4125000000000001,184449.68229675293,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.71453857421875,0.8017120361328125,0.29108428955078125,0.20426177978515625,0.2154998779296875,0.2620086669921875,0.1775360107421875,0.4953460693359375,0.34218597412109375,100,0.34258270263671875,0.20830535888671875,0.22704315185546875,0.5947494506835938,0.922149658203125,2.2730560302734375,33411727360,21474836480,10305044480,0
200,1772045551501,12707.248779296875,4040,1,0.40625,184455.05584716797,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.371795654296875,0.5028305053710938,0.22432708740234375,0.16980743408203125,0.066162109375,0.06746673583984375,0.12103271484375,0.11508941650390625,0.25371551513671875,100,0.33002471923828125,0.39109039306640625,0.45560455322265625,0.325775146484375,0.701171875,0.82470703125,33411727360,21474836480,10663354368,0
199,1772045551702,12707.299118041992,4040,1,0.40625,184460.53176879883,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,1.296112060546875,1.0020294189453125,0.2118988037109375,0.190155029296875,0.14995574951171875,0.1509552001953125,0.6059188842773438,0.207305908203125,0.35536956787109375,100,0.17523956298828125,0.17469024658203125,0.328887939453125,0.48583221435546875,4.121734619140625,2.959869384765625,33411727360,21474836480,11004510208,0
200,1772045551902,12707.309707641602,4040,1,0.4125000000000001,184465.97903442383,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,0.7278671264648438,0.36470794677734375,0.16082000732421875,0.3274383544921875,0.09867095947265625,0.359710693359375,0.11435699462890625,0.1142578125,0.28907012939453125,100,0.12984466552734375,0.18340301513671875,0.3271331787109375,0.3350830078125,2.441986083984375,0.5634994506835938,33411727360,21474836480,11362041856,0
