Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1771955929022,6509.860168457031,3250,1,0.5,117111.86213684082,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.3872756958007813,2.0852508544921875,0.4497528076171875,0.8567657470703125,0.28730010986328125,0.35944366455078125,0.48369598388671875,0.4033203125,0.6182403564453125,100,0.5909271240234375,0.5197906494140625,1.2026748657226563,1.49871826171875,3.7053298950195313,2.5967559814453125,33411727360,21474836480,18777202688,0
199,1771955929222,4169.478439331055,3250,1,0.48124999999999996,117118.19776916504,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,8.687156677246094,14.024650573730469,8.0509033203125,4.970176696777344,2.0521163940429688,1.0343093872070313,3.2981719970703125,3.5433120727539063,20.71197509765625,59.18416213989258,4.262443542480469,2.31640625,7.722930908203125,6.820045471191406,37.25862503051758,8.011665344238281,33411727360,21474836480,18776387584,0
199,1771955929422,630.7395477294922,4850,0,0.48750000000000004,117124.78515625,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,9.768989562988281,16.071258544921875,7.765373229980469,3.3464889526367188,1.4150314331054688,1.3232345581054688,1.7529678344726563,2.446197509765625,20.54845428466797,11.006172180175781,4.11346435546875,3.4761123657226563,11.20880126953125,4.0924835205078125,85.72503662109375,9.602386474609375,33411727360,21474836480,18776170496,0
200,1771955929622,6512.733322143555,4850,0,0.48124999999999996,117134.17248535156,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,51.79140853881836,27.746978759765625,24.703697204589844,18.19792938232422,5.926239013671875,12.565628051757813,9.082443237304688,10.935310363769531,82.67164611816406,18.15288543701172,12.347671508789063,13.923255920410156,25.08007049560547,24.834823608398438,35.8585205078125,59.83946228027344,33411727360,21474836480,18776944640,0
200,1771955929822,6513.473358154297,3900,1,0.48124999999999996,117141.59931945801,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,32.82188415527344,6.656700134277344,13.076004028320313,3.038970947265625,3.5213623046875,1.9000701904296875,5.039299011230469,3.2919921875,56.818946838378906,33.73431396484375,6.539421081542969,3.1087417602539063,14.631919860839844,8.051422119140625,43.26873779296875,20.524513244628906,33411727360,21474836480,18794586112,0
199,1771955930023,6514.032318115234,3900,1,0.48124999999999996,117148.36291503906,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,15.113853454589844,8.184219360351563,7.4545745849609375,3.2286376953125,2.2802658081054688,1.3326950073242188,2.1814041137695313,2.199462890625,77.37156677246094,9.849609375,4.1549072265625,3.1239395141601563,12.025032043457031,6.854866027832031,25.64886474609375,21.16180419921875,33411727360,21474836480,18797940736,0
199,1771955930223,6514.369537353516,3250,1,0.4750000000000001,117154.50787353516,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,5.6749725341796875,2.0317916870117188,2.742034912109375,2.0007476806640625,0.7793731689453125,6.3621673583984375,1.7563552856445313,1.2691650390625,39.934043884277344,50.934814453125,4.668296813964844,1.6499252319335938,3.8134918212890625,1.8570327758789063,21.603431701660156,12.234840393066406,33411727360,21474836480,18802372608,0
200,1771955930423,1603.3007049560547,4825,0,0.46875,117160.46310424805,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,3.7217864990234375,2.2546768188476563,1.397613525390625,1.268310546875,95.73921203613281,2.8716201782226563,0.8397293090820313,1.251068115234375,6.142036437988281,3.043792724609375,1.3232192993164063,0.7037277221679688,1.1088790893554688,0.7109222412109375,4.1417236328125,6.529449462890625,33411727360,21474836480,18784894976,0
200,1771955930623,1604.6231384277344,4825,0,0.48750000000000004,117166.94801330566,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,6.73297119140625,5.1558990478515625,1.8862152099609375,0.6612396240234375,100,8.287467956542969,0.39794921875,0.23346710205078125,12.010452270507813,13.993766784667969,1.8539962768554688,1.3772735595703125,2.2085418701171875,1.3656387329101563,9.628028869628906,6.422630310058594,33411727360,21474836480,18779443200,0
200,1771955930823,1605.8894653320313,4850,0,0.46875,117172.82821655273,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,4201,2.0511322021484375,0.4953460693359375,0.37766265869140625,0.40113067626953125,97.7221450805664,3.3903274536132813,1.382232666015625,0.6563186645507813,6.0880889892578125,2.4332351684570313,0.44446563720703125,1.5081558227539063,0.641387939453125,0.89068603515625,5.7883148193359375,2.135711669921875,33411727360,21474836480,18778853376,0
